Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic_Regression,0.6398544866612773,0.2825670498084291,0.6750572082379863,0.3983794733288319,0.7268743350981668
Random_Forest,0.8205335489086499,0.49184149184149184,0.482837528604119,0.48729792147806006,0.7158494622931152
Gradient_Boosting,0.8419563459983832,0.5714285714285714,0.42105263157894735,0.48484848484848486,0.7035248362951305
XGBoost,0.8286176232821342,0.5186246418338109,0.41418764302059496,0.46055979643765904,0.7021172384120319
SVM,0.7445432497978981,0.3658872077028886,0.6086956521739131,0.4570446735395189,0.7088990966883816
